Date,Close
12/7/2018 16:00:00,18.6
12/10/2018 16:00:00,18.8
12/11/2018 16:00:00,18.01
12/12/2018 16:00:00,18.68
12/13/2018 16:00:00,18.76
12/14/2018 16:00:00,18.32
12/17/2018 16:00:00,17
12/18/2018 16:00:00,17
12/19/2018 16:00:00,16.18
12/20/2018 16:00:00,15.5
12/21/2018 16:00:00,14.47
12/24/2018 13:00:00,14.03
12/26/2018 16:00:00,13.52
12/27/2018 16:00:00,14.65
12/28/2018 16:00:00,14.15
12/31/2018 16:00:00,15.27
1/2/2019 16:00:00,15.33
1/3/2019 16:00:00,15.5
1/4/2019 16:00:00,16.96
1/7/2019 16:00:00,16.27
1/8/2019 16:00:00,16.95
1/9/2019 16:00:00,16.33
1/10/2019 16:00:00,16.48
1/11/2019 16:00:00,17
1/14/2019 16:00:00,16.74
1/15/2019 16:00:00,16.59
1/16/2019 16:00:00,16.26
1/17/2019 16:00:00,16.31
1/18/2019 16:00:00,16.69
1/22/2019 16:00:00,15.56
1/23/2019 16:00:00,14.79
1/24/2019 16:00:00,14.64
1/25/2019 16:00:00,14.91
1/28/2019 16:00:00,14.45
1/29/2019 16:00:00,14.63
1/30/2019 16:00:00,15.13
1/31/2019 16:00:00,16.6
2/1/2019 16:00:00,16.22
2/4/2019 16:00:00,16.27
2/5/2019 16:00:00,17.18
2/6/2019 16:00:00,18.14
2/7/2019 16:00:00,17.05
2/8/2019 16:00:00,17.99
2/11/2019 16:00:00,18.17
2/12/2019 16:00:00,18.69
2/13/2019 16:00:00,18.53
2/14/2019 16:00:00,19.66
2/15/2019 16:00:00,21.44
2/19/2019 16:00:00,20.83
2/20/2019 16:00:00,19.92
2/21/2019 16:00:00,19.34
2/22/2019 16:00:00,19.88
2/25/2019 16:00:00,21.65
2/26/2019 16:00:00,23.7
2/27/2019 16:00:00,22.1
2/28/2019 16:00:00,22.6
3/1/2019 16:00:00,22.27
3/4/2019 16:00:00,21.12
3/5/2019 16:00:00,21.37
3/6/2019 16:00:00,20.65
3/7/2019 16:00:00,20.59
3/8/2019 16:00:00,20.93
3/11/2019 16:00:00,20.43
3/12/2019 16:00:00,19.26
3/13/2019 16:00:00,19.97
3/14/2019 16:00:00,20.82
3/15/2019 16:00:00,21.82
3/18/2019 16:00:00,22.18
3/19/2019 16:00:00,20.35
3/20/2019 16:00:00,20
3/21/2019 16:00:00,19.34
3/22/2019 16:00:00,19
3/25/2019 16:00:00,19.4
3/26/2019 16:00:00,19.9
3/27/2019 16:00:00,19.27
3/28/2019 16:00:00,19.66
3/29/2019 16:00:00,20.35
4/1/2019 16:00:00,20.59
4/2/2019 16:00:00,19.7
4/3/2019 16:00:00,21.33
4/4/2019 16:00:00,23.08
4/5/2019 16:00:00,25.96
4/8/2019 16:00:00,27.23
4/9/2019 16:00:00,26.82
4/10/2019 16:00:00,26.8
4/11/2019 16:00:00,25.73
4/12/2019 16:00:00,24.61
4/15/2019 16:00:00,25.84
4/16/2019 16:00:00,23.78
4/17/2019 16:00:00,23.5
4/18/2019 16:00:00,22.51
4/22/2019 16:00:00,23.63
