Date,Close
10/1/2012 16:00:00,45.22
10/2/2012 16:00:00,45.47
10/3/2012 16:00:00,45.78
10/4/2012 16:00:00,46.12
10/5/2012 16:00:00,46.28
10/8/2012 16:00:00,46.34
10/9/2012 16:00:00,46.17
10/10/2012 16:00:00,45.6
10/11/2012 16:00:00,45.45
10/12/2012 16:00:00,45.62
10/15/2012 16:00:00,46.59
10/16/2012 16:00:00,47.17
10/17/2012 16:00:00,47.39
10/18/2012 16:00:00,47.96
10/19/2012 16:00:00,47.03
10/22/2012 16:00:00,46.48
10/23/2012 16:00:00,45.89
10/24/2012 16:00:00,45.88
10/25/2012 16:00:00,46.3
10/26/2012 16:00:00,46.15
10/31/2012 16:00:00,45.63
11/1/2012 16:00:00,45.94
11/2/2012 16:00:00,46
11/5/2012 16:00:00,45.67
11/6/2012 16:00:00,45.92
11/7/2012 16:00:00,44.46
11/8/2012 16:00:00,43.84
11/9/2012 16:00:00,44.05
11/12/2012 16:00:00,44.02
11/13/2012 16:00:00,43.68
11/14/2012 16:00:00,43.05
11/15/2012 16:00:00,42.8
11/16/2012 16:00:00,43.07
11/19/2012 16:00:00,43.34
11/20/2012 16:00:00,43.56
11/21/2012 16:00:00,43.89
11/23/2012 16:00:00,44.28
11/26/2012 16:00:00,44.2
11/27/2012 16:00:00,43.88
11/28/2012 16:00:00,44.6
11/29/2012 16:00:00,44.71
11/30/2012 16:00:00,44.3
12/3/2012 16:00:00,44.44
12/4/2012 16:00:00,44.4
12/5/2012 16:00:00,44.39
12/6/2012 16:00:00,44.51
12/7/2012 16:00:00,44.63
12/10/2012 16:00:00,44.48
12/11/2012 16:00:00,45.19
12/12/2012 16:00:00,45.26
12/13/2012 16:00:00,43.95
12/14/2012 16:00:00,43.54
12/17/2012 16:00:00,43.63
12/18/2012 16:00:00,44.24
12/19/2012 16:00:00,43.66
12/20/2012 16:00:00,42.16
12/21/2012 16:00:00,41.52
12/24/2012 16:00:00,41.42
12/26/2012 16:00:00,41.34
12/27/2012 16:00:00,41.2
12/28/2012 16:00:00,40.64
12/31/2012 16:00:00,40.94
1/2/2013 16:00:00,41.34
1/3/2013 16:00:00,42.33
1/4/2013 16:00:00,41.97
1/7/2013 16:00:00,42.12
1/8/2013 16:00:00,42.18
1/9/2013 16:00:00,42.59
1/10/2013 16:00:00,42.78
1/11/2013 16:00:00,43.23
1/14/2013 16:00:00,43.34
1/15/2013 16:00:00,42.87
1/16/2013 16:00:00,42.54
1/17/2013 16:00:00,42.75
1/18/2013 16:00:00,42.98
1/22/2013 16:00:00,43.2
1/23/2013 16:00:00,42.82
1/24/2013 16:00:00,43
1/25/2013 16:00:00,43.46
1/28/2013 16:00:00,42.93
1/29/2013 16:00:00,43.66
1/30/2013 16:00:00,43.5
1/31/2013 16:00:00,43.25
2/1/2013 16:00:00,41.83
2/4/2013 16:00:00,40.85
2/5/2013 16:00:00,41.43
2/6/2013 16:00:00,41.09
2/7/2013 16:00:00,41
2/8/2013 16:00:00,41.18
2/11/2013 16:00:00,41.38
2/12/2013 16:00:00,41.45
2/13/2013 16:00:00,41.15
2/14/2013 16:00:00,41.19
2/15/2013 16:00:00,41.42
2/19/2013 16:00:00,42.22
2/20/2013 16:00:00,42.66
2/21/2013 16:00:00,42.5
2/22/2013 16:00:00,42.97
2/25/2013 16:00:00,42.52
2/26/2013 16:00:00,42.42
2/27/2013 16:00:00,42.97
2/28/2013 16:00:00,42.73
3/1/2013 16:00:00,42.63
3/4/2013 16:00:00,43.34
3/5/2013 16:00:00,43.25
3/6/2013 16:00:00,43.68
3/7/2013 16:00:00,43.27
3/8/2013 16:00:00,42.97
3/11/2013 16:00:00,43.66
3/12/2013 16:00:00,45.04
3/13/2013 16:00:00,44.59
3/14/2013 16:00:00,44.27
3/15/2013 16:00:00,44.09
3/18/2013 16:00:00,43.63
3/19/2013 16:00:00,43.7
3/20/2013 16:00:00,44.12
3/21/2013 16:00:00,43.79
3/22/2013 16:00:00,43.9
3/25/2013 16:00:00,43.69
3/26/2013 16:00:00,44.39
3/27/2013 16:00:00,44.1
3/28/2013 16:00:00,44.2
4/1/2013 16:00:00,44.35
4/2/2013 16:00:00,44.91
4/3/2013 16:00:00,45.36
4/4/2013 16:00:00,45.32
4/5/2013 16:00:00,45.13
4/8/2013 16:00:00,45.48
4/9/2013 16:00:00,45.51
4/10/2013 16:00:00,46.84
4/11/2013 16:00:00,47.21
4/12/2013 16:00:00,47.11
4/15/2013 16:00:00,46.46
4/16/2013 16:00:00,46.96
4/17/2013 16:00:00,46.76
4/18/2013 16:00:00,46.56
4/19/2013 16:00:00,47.49
4/22/2013 16:00:00,47.92
4/23/2013 16:00:00,48.63
4/24/2013 16:00:00,47.95
4/25/2013 16:00:00,47.35
4/26/2013 16:00:00,47.87
4/29/2013 16:00:00,47.82
4/30/2013 16:00:00,47
5/1/2013 16:00:00,45.69
5/2/2013 16:00:00,45.73
5/3/2013 16:00:00,45.67
5/6/2013 16:00:00,44.98
5/7/2013 16:00:00,45.27
5/8/2013 16:00:00,44.99
5/9/2013 16:00:00,45.49
5/10/2013 16:00:00,45.95
5/13/2013 16:00:00,46.17
5/14/2013 16:00:00,46.65
5/15/2013 16:00:00,46.73
5/16/2013 16:00:00,46.37
5/17/2013 16:00:00,45.99
5/20/2013 16:00:00,45.21
5/21/2013 16:00:00,47.33
5/22/2013 16:00:00,46.71
5/23/2013 16:00:00,47.33
5/24/2013 16:00:00,47.16
5/28/2013 16:00:00,47.62
5/29/2013 16:00:00,46.87
5/30/2013 16:00:00,47.07
5/31/2013 16:00:00,46.7
6/3/2013 16:00:00,48.45
6/4/2013 16:00:00,49.44
6/5/2013 16:00:00,48.73
6/6/2013 16:00:00,48.6
6/7/2013 16:00:00,48.19
6/10/2013 16:00:00,48.46
6/11/2013 16:00:00,47.56
6/12/2013 16:00:00,47.25
6/13/2013 16:00:00,47.9
6/14/2013 16:00:00,47.95
6/17/2013 16:00:00,47.8
6/18/2013 16:00:00,47.75
6/19/2013 16:00:00,47.58
6/20/2013 16:00:00,46.31
6/21/2013 16:00:00,47
6/24/2013 16:00:00,46.41
6/25/2013 16:00:00,46.23
6/26/2013 16:00:00,46.69
6/27/2013 16:00:00,47.28
6/28/2013 16:00:00,46.45
7/1/2013 16:00:00,46.32
7/2/2013 16:00:00,46.55
7/3/2013 16:00:00,46.55
7/5/2013 16:00:00,47.16
7/8/2013 16:00:00,47.41
7/9/2013 16:00:00,47.62
7/10/2013 16:00:00,47.96
7/11/2013 16:00:00,48.31
7/12/2013 16:00:00,48.54
7/15/2013 16:00:00,48.52
7/16/2013 16:00:00,48.23
7/17/2013 16:00:00,48.13
7/18/2013 16:00:00,47.4
7/19/2013 16:00:00,47.79
7/22/2013 16:00:00,47.72
7/23/2013 16:00:00,47.93
7/24/2013 16:00:00,47.77
7/25/2013 16:00:00,48.17
7/26/2013 16:00:00,48.49
7/29/2013 16:00:00,48.34
7/30/2013 16:00:00,48.05
7/31/2013 16:00:00,48.17
8/1/2013 16:00:00,48.58
8/2/2013 16:00:00,48.54
8/5/2013 16:00:00,48.53
8/6/2013 16:00:00,48.44
8/7/2013 16:00:00,48.55
8/8/2013 16:00:00,48.47
8/9/2013 16:00:00,48.39
8/12/2013 16:00:00,48.47
8/13/2013 16:00:00,48.43
8/14/2013 16:00:00,48.57
8/15/2013 16:00:00,47.97
8/16/2013 16:00:00,47.7
8/19/2013 16:00:00,47.58
8/20/2013 16:00:00,47.56
8/21/2013 16:00:00,47.46
8/22/2013 16:00:00,47.81
8/23/2013 16:00:00,47.73
8/26/2013 16:00:00,47.62
8/27/2013 16:00:00,47.11
8/28/2013 16:00:00,47.09
8/29/2013 16:00:00,47.1
8/30/2013 16:00:00,47.29
9/3/2013 16:00:00,47.21
9/4/2013 16:00:00,47.68
9/5/2013 16:00:00,47.51
9/6/2013 16:00:00,47.49
9/9/2013 16:00:00,47.74
9/10/2013 16:00:00,47.98
9/11/2013 16:00:00,48.14
9/12/2013 16:00:00,47.85
9/13/2013 16:00:00,47.79
9/16/2013 16:00:00,48.19
9/17/2013 16:00:00,48.01
9/18/2013 16:00:00,48.4
9/19/2013 16:00:00,48.26
9/20/2013 16:00:00,48.01
9/23/2013 16:00:00,47.68
9/24/2013 16:00:00,47.53
9/25/2013 16:00:00,47.67
9/26/2013 16:00:00,47.68
9/27/2013 16:00:00,47.79
9/30/2013 16:00:00,47.61
10/1/2013 16:00:00,48.74
10/2/2013 16:00:00,48.37
10/3/2013 16:00:00,48.36
10/4/2013 16:00:00,48.23
10/7/2013 16:00:00,47.89
10/8/2013 16:00:00,47.75
10/9/2013 16:00:00,47.27
10/10/2013 16:00:00,47.49
10/11/2013 16:00:00,47.29
10/14/2013 16:00:00,46.75
10/15/2013 16:00:00,46.57
10/16/2013 16:00:00,47.17
10/17/2013 16:00:00,47.11
10/18/2013 16:00:00,46.61
10/21/2013 16:00:00,46.51
10/22/2013 16:00:00,46.47
10/23/2013 16:00:00,46.56
10/24/2013 16:00:00,46.22
10/25/2013 16:00:00,46.54
10/28/2013 16:00:00,45.35
10/29/2013 16:00:00,45.58
10/30/2013 16:00:00,45.24
10/31/2013 16:00:00,45.09
11/1/2013 16:00:00,45.23
11/4/2013 16:00:00,45.72
11/5/2013 16:00:00,45.36
11/6/2013 16:00:00,45.96
11/7/2013 16:00:00,45.82
11/8/2013 16:00:00,46.8
11/11/2013 16:00:00,47
11/12/2013 16:00:00,47.59
11/13/2013 16:00:00,47.34
11/14/2013 16:00:00,47.82
11/15/2013 16:00:00,48.07
11/18/2013 16:00:00,48.01
11/19/2013 16:00:00,48.07
11/20/2013 16:00:00,48.13
11/21/2013 16:00:00,48.62
11/22/2013 16:00:00,48.94
11/25/2013 16:00:00,49.66
11/26/2013 16:00:00,49.58
11/27/2013 16:00:00,49.83
11/29/2013 16:00:00,49.83
12/2/2013 16:00:00,50.18
12/3/2013 16:00:00,49.76
12/4/2013 16:00:00,49.31
12/5/2013 16:00:00,48.81
12/6/2013 16:00:00,49.39
12/9/2013 16:00:00,49.56
12/10/2013 16:00:00,49.43
12/11/2013 16:00:00,48.95
12/12/2013 16:00:00,48.32
12/13/2013 16:00:00,48.38
12/16/2013 16:00:00,48.09
12/17/2013 16:00:00,47.9
12/18/2013 16:00:00,48.9
12/19/2013 16:00:00,48.79
12/20/2013 16:00:00,49.32
12/23/2013 16:00:00,49.36
12/24/2013 16:00:00,49.41
12/26/2013 16:00:00,49.72
12/27/2013 16:00:00,49.79
12/30/2013 16:00:00,49.94
12/31/2013 16:00:00,50.05
1/2/2014 16:00:00,49.49
1/3/2014 16:00:00,49.73
1/6/2014 16:00:00,49.74
1/7/2014 16:00:00,50.11
1/8/2014 16:00:00,49.79
1/9/2014 16:00:00,49.52
1/10/2014 16:00:00,49.88
1/13/2014 16:00:00,53.12
1/14/2014 16:00:00,53
1/15/2014 16:00:00,52.52
1/16/2014 16:00:00,52.5
